mode,sample,launches_per_event_interval,first,fe2o3_us,hipblaslt_us
synchronized_latency,438,1,fe2o3,6.48,7.8
synchronized_latency,439,1,hipblaslt,6.44,7.72
synchronized_latency,440,1,fe2o3,8,7.96
synchronized_latency,441,1,hipblaslt,6.52,7.76
synchronized_latency,442,1,fe2o3,6.44,8.04
synchronized_latency,443,1,hipblaslt,6.44,7.84
synchronized_latency,444,1,fe2o3,6.56,7.8
synchronized_latency,445,1,hipblaslt,6.36,7.72
synchronized_latency,446,1,fe2o3,6.36,7.88
synchronized_latency,447,1,hipblaslt,6.44,8
synchronized_latency,448,1,fe2o3,6.52,7.88
synchronized_latency,449,1,hipblaslt,6.4,7.88
synchronized_latency,450,1,fe2o3,6.56,7.8
synchronized_latency,451,1,hipblaslt,6.56,7.76
synchronized_latency,452,1,fe2o3,6.64,7.84
synchronized_latency,453,1,hipblaslt,6.44,7.88
synchronized_latency,454,1,fe2o3,6.4,7.76
synchronized_latency,455,1,hipblaslt,6.48,7.72
synchronized_latency,456,1,fe2o3,6.44,7.84
synchronized_latency,457,1,hipblaslt,6.4,7.72
synchronized_latency,458,1,fe2o3,9.6,7.72
synchronized_latency,459,1,hipblaslt,7.2,7.88
synchronized_latency,460,1,fe2o3,6.6,7.76
synchronized_latency,461,1,hipblaslt,10.48,7.84
synchronized_latency,462,1,fe2o3,7.2,7.68
synchronized_latency,463,1,hipblaslt,6.56,7.76
synchronized_latency,464,1,fe2o3,6.52,8.08
synchronized_latency,465,1,hipblaslt,6.52,7.84
synchronized_latency,466,1,fe2o3,6.48,7.96
synchronized_latency,467,1,hipblaslt,6.52,8.84
synchronized_latency,468,1,fe2o3,6.56,7.96
synchronized_latency,469,1,hipblaslt,6.4,7.8
synchronized_latency,470,1,fe2o3,6.44,8
synchronized_latency,471,1,hipblaslt,6.36,7.72
synchronized_latency,472,1,fe2o3,6.52,7.92
synchronized_latency,473,1,hipblaslt,6.4,7.76
synchronized_latency,474,1,fe2o3,6.36,7.92
synchronized_latency,475,1,hipblaslt,6.44,7.92
synchronized_latency,476,1,fe2o3,6.6,7.88
synchronized_latency,477,1,hipblaslt,6.52,7.88
synchronized_latency,478,1,fe2o3,6.56,7.92
synchronized_latency,479,1,hipblaslt,6.48,8.04
synchronized_latency,480,1,fe2o3,6.36,7.84
synchronized_latency,481,1,hipblaslt,6.4,7.76
synchronized_latency,482,1,fe2o3,6.36,7.88
synchronized_latency,483,1,hipblaslt,6.4,7.84
synchronized_latency,484,1,fe2o3,6.4,7.88
synchronized_latency,485,1,hipblaslt,9.96,7.8
synchronized_latency,486,1,fe2o3,6.48,7.88
synchronized_latency,487,1,hipblaslt,6.36,8.88
synchronized_latency,488,1,fe2o3,6.48,8.04
synchronized_latency,489,1,hipblaslt,6.36,9.52
synchronized_latency,490,1,fe2o3,6.44,8
synchronized_latency,491,1,hipblaslt,6.44,7.8
synchronized_latency,492,1,fe2o3,6.52,7.96
synchronized_latency,493,1,hipblaslt,6.48,7.88
synchronized_latency,494,1,fe2o3,7,7.8
synchronized_latency,495,1,hipblaslt,6.48,8.6
synchronized_latency,496,1,fe2o3,6.56,7.88
synchronized_latency,497,1,hipblaslt,6.56,7.84
synchronized_latency,498,1,fe2o3,6.48,7.8
synchronized_latency,499,1,hipblaslt,6.4,7.84
synchronized_latency,500,1,fe2o3,6.56,13.2
synchronized_latency,501,1,hipblaslt,7.12,7.84
synchronized_latency,502,1,fe2o3,9.84,9.24
synchronized_latency,503,1,hipblaslt,12.401,7.68
synchronized_latency,504,1,fe2o3,6.48,8.92
synchronized_latency,505,1,hipblaslt,14.04,7.84
synchronized_latency,506,1,fe2o3,6.36,8.28
synchronized_latency,507,1,hipblaslt,45.76,7.84
synchronized_latency,508,1,fe2o3,6.44,8.24
synchronized_latency,509,1,hipblaslt,19.68,7.88
synchronized_latency,510,1,fe2o3,6.32,10.52
synchronized_latency,511,1,hipblaslt,15.76,7.84
synchronized_latency,512,1,fe2o3,6.52,7.56
synchronized_latency,513,1,hipblaslt,11.68,9.24
synchronized_latency,514,1,fe2o3,6.4,9.28
synchronized_latency,515,1,hipblaslt,7,8.12
synchronized_latency,516,1,fe2o3,6.44,8.52
synchronized_latency,517,1,hipblaslt,6.6,8.12
synchronized_latency,518,1,fe2o3,6.52,15.44
synchronized_latency,519,1,hipblaslt,9.641,8
synchronized_latency,520,1,fe2o3,6.4,8.56
